step,epsilon,replay_size,fps,loss,td_error,grad_norm,learning_rate,loss_ma,spr_loss,cosine_similarity,ema_update_count
2000,0.991018,500,2196.5825036083347,,,,,,,,
4000,0.982018,1000,2737.059375331381,,,,,,,,
6000,0.973018,1500,2758.8306273779954,,,,,,,,
8000,0.964018,2000,2142.2884100841657,3.272250175476074,1.573209524154663,74.0244369506836,0.00025,3.272250175476074,,,
10000,0.955018,2500,1211.723514211513,0.07106950879096985,0.21561168134212494,3.2970077991485596,0.00025,1.671659842133522,,,
12000,0.946018,3000,1219.710003994159,0.07423217594623566,0.22249463200569153,3.211979389190674,0.00025,1.1391839534044266,,,
14000,0.937018,3500,963.9883148446313,0.08693680912256241,0.2469223588705063,3.2564704418182373,0.00025,0.8761221673339605,,,
16000,0.928018,4000,931.6989133521726,0.059534840285778046,0.17879055440425873,2.2678396701812744,0.00025,0.712804701924324,,,
18000,0.919018,4500,1193.6834418167034,0.04719502478837967,0.1762516051530838,1.5004370212554932,0.00025,0.601869755735,,,
20000,0.910018,5000,1214.111444978816,0.05226738750934601,0.1709170937538147,1.5603015422821045,0.00025,0.5233551317027637,,,
22000,0.901018,5500,1211.2535609038923,0.036265693604946136,0.16176186501979828,1.2900840044021606,0.00025,0.4624689519405365,,,
24000,0.892018,6000,1208.5736234237672,0.03760965168476105,0.14483626186847687,1.2901771068572998,0.00025,0.4152623630232281,,,
26000,0.883018,6500,1162.4386050195749,0.0464853011071682,0.18590667843818665,1.2337685823440552,0.00025,0.37838465683162215,,,
28000,0.874018,7000,1207.1422876998124,0.03660626336932182,0.15348950028419495,1.0285907983779907,0.00025,0.3473138937895948,,,
30000,0.8650180000000001,7500,933.7870725726385,0.05981215462088585,0.15977293252944946,1.477235198020935,0.00025,0.32335541552553576,,,
32000,0.856018,8000,914.2906967746014,0.0222819484770298,0.12142534554004669,0.7854975461959839,0.00025,0.3001959180602661,,,
34000,0.847018,8500,1183.8365802981139,0.027355574071407318,0.13455602526664734,1.1934688091278076,0.00025,0.28070732206106186,,,
36000,0.8380179999999999,9000,1175.339444337882,0.03236784785985947,0.14091137051582336,1.1797783374786377,0.00025,0.26415135711431503,,,
38000,0.829018,9500,1171.056507338396,0.043808769434690475,0.16560664772987366,0.9908289909362793,0.00025,0.2503799453843385,,,
40000,0.820018,10000,1158.3799984313016,0.031865790486335754,0.13823780417442322,1.314422607421875,0.00025,0.2375261715668089,,,
