step,epsilon,replay_size,fps,loss,td_error,grad_norm,learning_rate,loss_ma,spr_loss,cosine_similarity,ema_update_count
2000,0.991018,500,1352.249701214454,,,,,,,,
4000,0.982018,1000,1760.9900127530268,,,,,,,,
6000,0.973018,1500,1712.8703854577473,,,,,,,,
8000,0.964018,2000,1330.8307237160548,3.0356333255767822,1.3982045650482178,57.50869369506836,0.00025,3.0356333255767822,,,
10000,0.955018,2500,789.3526789137946,0.13602763414382935,0.3156723380088806,3.3026657104492188,0.00025,1.5858304798603058,,,
12000,0.946018,3000,520.6926821165704,0.09314306080341339,0.2535480558872223,1.9653587341308594,0.00025,1.0882680068413417,,,
14000,0.937018,3500,587.1971460423135,0.18643918633460999,0.35471558570861816,3.8125,0.00025,0.8628108017146587,,,
16000,0.928018,4000,804.4300669331668,0.09146492928266525,0.24870745837688446,3.47914457321167,0.00025,0.7085416272282601,,,
18000,0.919018,4500,798.813332054766,0.05572788044810295,0.2011650800704956,1.4835549592971802,0.00025,0.5997393360982338,,,
20000,0.910018,5000,804.8411311937957,0.05392131209373474,0.17471270263195038,1.5898191928863525,0.00025,0.5217653326690197,,,
22000,0.901018,5500,577.0746403777817,0.0649249255657196,0.17827224731445312,1.4261384010314941,0.00025,0.4646602817811072,,,
24000,0.892018,6000,557.3844801733215,0.06045861542224884,0.1993556022644043,2.736259937286377,0.00025,0.4197489855190118,,,
26000,0.883018,6500,771.6731481715717,0.048467427492141724,0.17457857728004456,1.0559300184249878,0.00025,0.38262082971632483,,,
28000,0.874018,7000,782.5341484979474,0.0504719503223896,0.18364226818084717,1.0635337829589844,0.00025,0.3524254770441489,,,
30000,0.8650180000000001,7500,785.4760020671091,0.02707262709736824,0.13930869102478027,1.774760365486145,0.00025,0.3253127395485838,,,
32000,0.856018,8000,635.8829065717085,0.042909275740385056,0.16783317923545837,1.1560733318328857,0.00025,0.3035893961787224,,,
34000,0.847018,8500,463.6952595405239,0.03999277949333191,0.15952052175998688,0.8425185680389404,0.00025,0.2847610664154802,,,
36000,0.8380179999999999,9000,789.7356121410131,0.030149882659316063,0.12401187419891357,1.2327274084091187,0.00025,0.2677869874984026,,,
38000,0.829018,9500,784.231031103987,0.03440863639116287,0.14239975810050964,1.2652711868286133,0.00025,0.2532008405542001,,,
40000,0.820018,10000,781.1574054975601,0.025811776518821716,0.1242133229970932,1.0114315748214722,0.00025,0.23982501325800137,,,
42000,0.811018,10500,50.31132433804305,0.03923961520195007,0.15159276127815247,0.7196053266525269,0.00025,0.2286813800326652,,,
44000,0.802018,11000,766.894640080231,0.04587952792644501,0.15367010235786438,1.1194502115249634,0.00025,0.2190602299218115,,,
46000,0.793018,11500,786.3957766445383,0.023903073742985725,0.13369137048721313,0.8121382594108582,0.00025,0.20930237211287023,,,
48000,0.784018,12000,760.1708756220231,0.026963211596012115,0.13172733783721924,0.7731337547302246,0.00025,0.2006195549454008,,,
50000,0.775018,12500,495.16210100444863,0.06295318901538849,0.147772416472435,1.2003976106643677,0.00025,0.19436199285767294,,,
52000,0.766018,13000,643.0989172066323,0.02460959553718567,0.11765667051076889,0.9483245015144348,0.00025,0.1869814538437387,,,
54000,0.757018,13500,753.1687268366675,0.02125946804881096,0.11779238283634186,0.6580175161361694,0.00025,0.1800763711022834,,,
56000,0.7480180000000001,14000,750.5642692523049,0.022031676024198532,0.12276023626327515,0.6136027574539185,0.00025,0.17375458329916,,,
58000,0.739018,14500,744.4903233479047,0.02600434422492981,0.13254722952842712,0.6092622876167297,0.00025,0.168071881796305,,,
60000,0.7300180000000001,15000,443.96910520775907,0.02415003441274166,0.1335233747959137,0.6525352597236633,0.00025,0.16274144300432117,,,
62000,0.7210179999999999,15500,664.4369352635987,0.02706426940858364,0.12666526436805725,0.943410336971283,0.00025,0.15789582966161625,,,
64000,0.712018,16000,741.7775479467657,0.024520136415958405,0.13269264996051788,0.9296562075614929,0.00025,0.1532966678255591,,,
66000,0.7030179999999999,16500,756.9359562012365,0.03852654993534088,0.12638655304908752,0.6059377193450928,0.00025,0.14947099722921847,,,
68000,0.694018,17000,738.5493961995109,0.021427905187010765,0.11681559681892395,0.9474104642868042,0.00025,0.1453405749052763,,,
70000,0.685018,17500,390.4670570092252,0.019607100635766983,0.1069154292345047,0.509395956993103,0.00025,0.14141140383435413,,,
72000,0.676018,18000,744.017338569341,0.05349792540073395,0.16666072607040405,1.0018037557601929,0.00025,0.13874735903333535,,,
74000,0.667018,18500,745.410808615251,0.010186553001403809,0.07839760184288025,0.6698117852210999,0.00025,0.13496615885592558,,,
76000,0.658018,19000,721.3840557644152,0.01757173053920269,0.10679300874471664,0.6162905693054199,0.00025,0.13161203233259064,,,
78000,0.649018,19500,572.4730572267779,0.01618366315960884,0.10708614438772202,0.8748031854629517,0.00025,0.12840568874445227,,,
80000,0.640018,20000,485.55309304364795,0.01825842447578907,0.10560671985149384,0.8450503945350647,0.00025,0.12542873565611,,,
