step,epsilon,replay_size,fps,loss,td_error,grad_norm,learning_rate,loss_ma,spr_loss,cosine_similarity,ema_update_count
2000,0.991018,500,1987.8467667958862,,,,,,,,
4000,0.982018,1000,2512.863111308952,,,,,,,,
6000,0.973018,1500,1937.2512793984517,,,,,,,,
8000,0.964018,2000,1328.0378206876767,17.40630340576172,3.4509057998657227,361.1197204589844,0.00025,17.40630340576172,,,
10000,0.955018,2500,813.6098488151283,0.11722962558269501,0.2946826219558716,4.983728885650635,0.00025,8.761766515672207,,,
12000,0.946018,3000,1085.4784687633119,0.2582543194293976,0.3160420060157776,6.729557514190674,0.00025,5.927262450257937,,,
14000,0.937018,3500,1062.1606362271061,0.33137673139572144,0.4157961308956146,7.068843364715576,0.00025,4.528291020542383,,,
16000,0.928018,4000,1064.4032775864819,0.1473838835954666,0.3489159345626831,5.438565731048584,0.00025,3.652109593153,,,
18000,0.919018,4500,1053.3183023266502,0.13755640387535095,0.2795282006263733,3.877967596054077,0.00025,3.0663507282733917,,,
20000,0.910018,5000,1060.153807209307,0.12920978665351868,0.31034499406814575,2.8108971118927,0.00025,2.6467591651848386,,,
22000,0.901018,5500,831.3829262696675,0.1316806823015213,0.2996726632118225,3.110189199447632,0.00025,2.332374354824424,,,
24000,0.892018,6000,798.1772277930515,0.12430721521377563,0.24334175884723663,2.7709028720855713,0.00025,2.087033561534352,,,
26000,0.883018,6500,1054.595897029217,0.0839293822646141,0.24974334239959717,3.057004451751709,0.00025,1.886723143607378,,,
28000,0.874018,7000,1040.279252819141,0.15062782168388367,0.2757226824760437,3.4984548091888428,0.00025,1.7288962961597876,,,
30000,0.8650180000000001,7500,1056.2092240622983,0.1024555042386055,0.2626056969165802,3.5672502517700195,0.00025,1.593359563499689,,,
32000,0.856018,8000,1055.553073874174,0.1029878556728363,0.2145894169807434,2.2856996059417725,0.00025,1.4787155859745467,,,
34000,0.847018,8500,1014.471129153446,0.13162806630134583,0.279511034488678,3.3244590759277344,0.00025,1.3824950488550323,,,
36000,0.8380179999999999,9000,825.7258956060057,0.1416238248348236,0.24723532795906067,2.4871671199798584,0.00025,1.2997703005870183,,,
38000,0.829018,9500,778.1899230224828,0.2053636908531189,0.3162740468978882,3.3918678760528564,0.00025,1.2313698874786496,,,
40000,0.820018,10000,1020.4098811530039,0.11534231156110764,0.2732800841331482,1.910317301750183,0.00025,1.1657212065423237,,,
42000,0.811018,10500,57.073051429086796,0.1235402300953865,0.2787855565547943,2.318697929382324,0.00025,1.1078222634063826,,,
44000,0.802018,11000,1023.2248372387812,0.32171759009361267,0.39725571870803833,4.213075637817383,0.00025,1.0664483332320263,,,
46000,0.793018,11500,761.5293247427528,0.2076082080602646,0.3320181965827942,2.0958681106567383,0.00025,1.0235063269734384,,,
48000,0.784018,12000,816.5441582291037,0.21886879205703735,0.28755587339401245,4.0321364402771,0.00025,0.9851902538821811,,,
50000,0.775018,12500,1028.3659104001229,0.11176101863384247,0.26599520444869995,2.5519020557403564,0.00025,0.9454889250072566,,,
52000,0.766018,13000,1005.0944819783255,0.07022063434123993,0.22054407000541687,2.1911873817443848,0.00025,0.907433781934821,,,
54000,0.757018,13500,1028.5505073287495,0.171993225812912,0.30891621112823486,2.9603052139282227,0.00025,0.8767904254297415,,,
56000,0.7480180000000001,14000,1019.8377374373194,0.08019763231277466,0.2226700484752655,2.2338249683380127,0.00025,0.8449267137050629,,,
58000,0.739018,14500,960.6074153334262,0.08196714520454407,0.2225014567375183,1.6354070901870728,0.00025,0.8155821149165814,,,
60000,0.7300180000000001,15000,738.598557107721,0.0756269246339798,0.22154831886291504,1.4348335266113281,0.00025,0.7881763671283368,,,
62000,0.7210179999999999,15500,861.9622502694722,0.0788506269454956,0.22906579077243805,1.930281400680542,0.00025,0.7628433049789497,,,
64000,0.712018,16000,991.126703434629,0.1223033145070076,0.27766868472099304,1.9591188430786133,0.00025,0.7407557191006069,,,
66000,0.7030179999999999,16500,999.8246738797096,0.10428082942962646,0.24156367778778076,1.9608241319656372,0.00025,0.7195398894449075,,,
68000,0.694018,17000,989.4447998701595,0.09117967635393143,0.2232133001089096,1.6982569694519043,0.00025,0.6992702051516502,,,
70000,0.685018,17500,961.9974334832953,0.05577351525425911,0.19523565471172333,1.0472370386123657,0.00025,0.6791609335923567,,,
72000,0.676018,18000,830.6323071754281,0.06200062483549118,0.20483356714248657,1.1973620653152466,0.00025,0.6604591060542699,,,
74000,0.667018,18500,720.5487180350545,0.07186993211507797,0.21333661675453186,1.6474473476409912,0.00025,0.6431476597619408,,,
76000,0.658018,19000,944.6641268740168,0.07345973700284958,0.20491589605808258,1.3340191841125488,0.00025,0.6268708619688238,,,
78000,0.649018,19500,982.3826862096842,0.07662216573953629,0.22319744527339935,2.511603832244873,0.00025,0.6115861759624548,,,
80000,0.640018,20000,967.5144914815762,0.09231029450893402,0.22977960109710693,1.355713963508606,0.00025,0.5975516926799271,,,
82000,0.631018,20500,82.75226555640931,0.03651814162731171,0.15365804731845856,0.9897435307502747,0.00025,0.582787651862753,,,
84000,0.622018,21000,990.8648129813254,0.11179094761610031,0.23837721347808838,1.7416374683380127,0.00025,0.5707108132923261,,,
86000,0.6130180000000001,21500,975.0508296165217,0.07315512001514435,0.22471806406974792,1.8438057899475098,0.00025,0.5582719209603966,,,
88000,0.6040179999999999,22000,977.3753083350159,0.11761865019798279,0.25980812311172485,1.7434691190719604,0.00025,0.5475242802100938,,,
90000,0.595018,22500,964.7043616242935,0.10334167629480362,0.22264903783798218,1.4182912111282349,0.00025,0.5369485039263964,,,
92000,0.5860179999999999,23000,814.6391346106224,0.046646591275930405,0.1681685447692871,2.0880215167999268,0.00025,0.5255461338647577,,,
94000,0.577018,23500,700.5427643762243,0.04273395240306854,0.15461915731430054,1.9180930852890015,0.00025,0.5145731297406283,,,
96000,0.5680179999999999,24000,909.3691952373235,0.10909297317266464,0.21662524342536926,2.4538068771362305,0.00025,0.5055624595946736,,,
