step,epsilon,replay_size,fps,loss,td_error,grad_norm,learning_rate,loss_ma,spr_loss,cosine_similarity,ema_update_count
2000,0.991018,500,1742.1913924786734,,,,,,,,
4000,0.982018,1000,1987.453980673245,,,,,,,,
6000,0.973018,1500,2046.6249238792686,,,,,,,,
8000,0.964018,2000,1618.1335098722523,44.883644104003906,5.10263204574585,1146.063720703125,0.00025,44.883644104003906,,,
10000,0.955018,2500,859.5087794077115,0.7063503265380859,0.7033240795135498,22.20979881286621,0.00025,22.794997215270996,,,
12000,0.946018,3000,714.3085959037525,0.4942561388015747,0.5510349869728088,10.575340270996094,0.00025,15.361416856447855,,,
14000,0.937018,3500,958.0837885652742,1.1165889501571655,0.8921839594841003,20.915645599365234,0.00025,11.800209879875183,,,
16000,0.928018,4000,975.4326918828208,0.7447333335876465,0.6968553066253662,22.92648696899414,0.00025,9.589114570617676,,,
18000,0.919018,4500,980.3504697581229,0.7816219329833984,0.7188943028450012,11.741423606872559,0.00025,8.121199131011963,,,
20000,0.910018,5000,983.774179910437,0.8460924625396729,0.7316610813140869,15.842421531677246,0.00025,7.081898178373065,,,
22000,0.901018,5500,983.3168267332135,0.4476566016674042,0.5703607201576233,8.249327659606934,0.00025,6.252617981284857,,,
24000,0.892018,6000,696.2522547915955,0.5464619994163513,0.6177448034286499,33.80384826660156,0.00025,5.618600649966134,,,
26000,0.883018,6500,832.1512477048803,0.4311258792877197,0.5740485191345215,26.5610408782959,0.00025,5.0998531728982925,,,
28000,0.874018,7000,964.2479376728089,0.47520408034324646,0.5356262922286987,18.69322395324707,0.00025,4.6794305281205615,,,
30000,0.8650180000000001,7500,975.2707493926508,0.816180408000946,0.7031862735748291,19.44361114501953,0.00025,4.357493018110593,,,
32000,0.856018,8000,977.6628163202847,0.9936690926551819,0.684395968914032,10.583452224731445,0.00025,4.0987373315371,,,
34000,0.847018,8500,965.285163095823,0.2917681634426117,0.4323781132698059,3.380902051925659,0.00025,3.8268109623874937,,,
36000,0.8380179999999999,9000,758.4145547177958,0.3324697017669678,0.4639941453933716,12.545553207397461,0.00025,3.5938548783461255,,,
38000,0.829018,9500,736.001047242701,0.25866907835006714,0.3999982476234436,3.8941543102264404,0.00025,3.3854057658463717,,,
40000,0.820018,10000,966.4465283777467,0.3165227472782135,0.44217386841773987,5.289426326751709,0.00025,3.204883235342362,,,
42000,0.811018,10500,73.73187769193478,0.3897736072540283,0.5300498604774475,4.205909252166748,0.00025,3.0484882560041218,,,
44000,0.802018,11000,965.4313616314193,0.34261631965637207,0.4786539673805237,5.543776035308838,0.00025,2.9060739435647664,,,
46000,0.793018,11500,939.003662610035,0.39494121074676514,0.5003308057785034,18.136737823486328,0.00025,2.7805173069238664,,,
48000,0.784018,12000,937.388066064307,0.3400774896144867,0.47342371940612793,9.985858917236328,0.00025,2.664305887051991,,,
50000,0.775018,12500,937.1627009019817,0.4998019337654114,0.5513452887535095,13.632150650024414,0.00025,2.565919343720783,,,
52000,0.766018,13000,704.724521241267,0.3908672332763672,0.4248863160610199,8.409952163696289,0.00025,2.471351860657982,,,
54000,0.757018,13500,751.6641505484564,0.3491625189781189,0.46354568004608154,6.641782283782959,0.00025,2.3829273047546544,,,
56000,0.7480180000000001,14000,926.0542735775394,0.3255996108055115,0.47628429532051086,3.9547646045684814,0.00025,2.300634196996689,,,
58000,0.739018,14500,921.4291441809069,0.2585151493549347,0.40490779280662537,9.348346710205078,0.00025,2.222091156702775,,,
60000,0.7300180000000001,15000,933.7527718080531,0.3005523979663849,0.4289407730102539,11.554825782775879,0.00025,2.1509230545273534,,,
62000,0.7210179999999999,15500,940.2484483606419,0.4151793420314789,0.5152121782302856,8.000786781311035,0.00025,2.0889322076525008,,,
64000,0.712018,16000,708.664467893482,0.2766035795211792,0.421167254447937,11.922722816467285,0.00025,2.0264381170272827,,,
66000,0.7030179999999999,16500,743.8703425457321,0.24824506044387817,0.4103056788444519,8.417581558227539,0.00025,1.9671650151411693,,,
68000,0.694018,17000,931.6658005586702,0.9316201210021973,0.6078619956970215,6.506876468658447,0.00025,1.9337603411366862,,,
70000,0.685018,17500,933.1009129777387,0.4251258373260498,0.44833871722221375,3.95959210395813,0.00025,1.8866155128926039,,,
72000,0.676018,18000,932.0612382516074,0.2396748960018158,0.40044212341308594,5.129815578460693,0.00025,1.836708221471671,,,
74000,0.667018,18500,921.7157657899684,0.4738156199455261,0.42880597710609436,4.044749736785889,0.00025,1.796623144956196,,,
76000,0.658018,19000,698.1530164257972,0.301923930644989,0.43380501866340637,16.03252410888672,0.00025,1.753917453118733,,,
78000,0.649018,19500,739.0746377801174,0.20366859436035156,0.34096279740333557,7.864610195159912,0.00025,1.710854984819889,,,
80000,0.640018,20000,902.5311215105305,1.2233937978744507,0.6533045172691345,18.235448837280273,0.00025,1.697680358145688,,,
82000,0.631018,20500,72.64948700691241,0.5949809551239014,0.43518224358558655,8.838348388671875,0.00025,1.6686619528030093,,,
84000,0.622018,21000,905.7441156003332,0.17988328635692596,0.3130233585834503,8.530309677124023,0.00025,1.6304881408428535,,,
86000,0.6130180000000001,21500,919.2987008888102,0.14371851086616516,0.3161081075668335,6.237949371337891,0.00025,1.5933189000934362,,,
88000,0.6040179999999999,22000,915.3348280827242,0.45970770716667175,0.4150633215904236,4.454801082611084,0.00025,1.5656698466074177,,,
90000,0.595018,22500,798.0854947533583,0.10090968757867813,0.23159141838550568,2.233912467956543,0.00025,1.530794604725781,,,
92000,0.5860179999999999,23000,646.7782131726096,0.5689083933830261,0.43068423867225647,12.215590476989746,0.00025,1.508425157950368,,,
94000,0.577018,23500,891.2327560607775,0.26731666922569275,0.32606446743011475,5.776421070098877,0.00025,1.4802181468429891,,,
96000,0.5680179999999999,24000,914.9376855673914,0.19695210456848145,0.35301393270492554,6.037850379943848,0.00025,1.4517011236813333,,,
98000,0.559018,24500,905.0907231580155,0.6293598413467407,0.43941181898117065,5.541591644287109,0.00025,1.4338241392827553,,,
100000,0.550018,25000,901.6059955677476,0.2395598590373993,0.35446369647979736,3.0985004901885986,0.00025,1.4084142609796626,,,
102000,0.541018,25500,716.7507671317547,0.18155919015407562,0.3430747985839844,7.505061626434326,0.00025,1.382854780337463,,,
104000,0.532018,26000,693.5184698328103,0.18906709551811218,0.35278964042663574,6.251177787780762,0.00025,1.3584917663615577,,,
106000,0.523018,26500,890.3791150115975,0.4977986216545105,0.4358310401439667,10.162581443786621,0.00025,1.3412779034674167,,,
108000,0.514018,27000,889.9887868267441,0.23064838349819183,0.4044116735458374,4.638493537902832,0.00025,1.3195008540562554,,,
110000,0.505018,27500,864.3243128511835,0.26676100492477417,0.39821261167526245,13.344297409057617,0.00025,1.2992558569575732,,,
112000,0.49601799999999996,28000,892.603188324558,0.17146486043930054,0.30694591999053955,4.1600565910339355,0.00025,1.277976781551568,,,
114000,0.48701799999999995,28500,661.4908313906537,0.2328399270772934,0.3756999373435974,3.3070454597473145,0.00025,1.2586223953576,,,
116000,0.47801799999999994,29000,744.6504542056297,0.13958384096622467,0.29961156845092773,3.9132447242736816,0.00025,1.2382762398232112,,,
118000,0.46901799999999993,29500,858.8699798065512,0.14012973010540009,0.2997209429740906,7.089843273162842,0.00025,1.2186664807211076,,,
120000,0.46001800000000004,30000,879.045301084727,0.20038150250911713,0.3684889078140259,8.172411918640137,0.00025,1.2008018319805462,,,
122000,0.45101800000000003,30500,28.481710023860156,0.3612171709537506,0.3181592524051666,8.24349594116211,0.00025,1.186326234376636,,,
